prot_IDs	usage
prot_A0A140FWK2_exchange	0
prot_A0A140FWS3_exchange	0.0136198288043245
prot_A0A140FWS4_exchange	0.999899999998875
prot_P0A0Z9_exchange	0.34073636524495
prot_P0A101_exchange	0
prot_P0A103_exchange	0
prot_P0A122_exchange	0.618194284159317
prot_P0A136_exchange	0.0609345150650364
prot_P0A155_exchange	0
prot_P59285_exchange	0
prot_P59300_exchange	0.125990915165351
prot_P59308_exchange	1
prot_P59319_exchange	0.999900000008086
prot_P59392_exchange	0
prot_P59400_exchange	1
prot_P59604_exchange	0.9999
prot_P59612_exchange	0
prot_P59618_exchange	0.00348987914523011
prot_Q877U6_exchange	0.583551357810059
prot_Q88BW8_exchange	1
prot_Q88BW9_exchange	1
prot_Q88BX0_exchange	1
prot_Q88BX1_exchange	1
prot_Q88BX2_exchange	1
prot_Q88BX3_exchange	1
prot_Q88BX4_exchange	1
prot_Q88BX5_exchange	1
prot_Q88BX6_exchange	0.00673846765292944
prot_Q88BX8_exchange	0.750668988138171
prot_Q88C17_exchange	0
prot_Q88C18_exchange	1
prot_Q88C26_exchange	0
prot_Q88C36_exchange	0
prot_Q88C37_exchange	0
prot_Q88C45_exchange	0
prot_Q88C47_exchange	0.251330429675199
prot_Q88C48_exchange	0.523176219798489
prot_Q88C54_exchange	0
prot_Q88C57_exchange	0
prot_Q88C69_exchange	0
prot_Q88C81_exchange	0
prot_Q88C87_exchange	0.293923772983177
prot_Q88C92_exchange	1
prot_Q88C93_exchange	0.131710161022258
prot_Q88C95_exchange	0
prot_Q88C96_exchange	0.037435780821828
prot_Q88CA3_exchange	0
prot_Q88CA8_exchange	0
prot_Q88CB1_exchange	0
prot_Q88CC3_exchange	0
prot_Q88CF3_exchange	0.315921793012563
prot_Q88CF4_exchange	1
prot_Q88CG4_exchange	1
prot_Q88CG5_exchange	0
prot_Q88CG6_exchange	0.0170687649949058
prot_Q88CG8_exchange	0
prot_Q88CH8_exchange	0
prot_Q88CI2_exchange	0.00033523091572681
prot_Q88CI4_exchange	0
prot_Q88CI7_exchange	0.0325895592839855
prot_Q88CI8_exchange	0.0103098538223474
prot_Q88CI9_exchange	1
prot_Q88CJ5_exchange	0.0420225808704137
prot_Q88CJ6_exchange	0
prot_Q88CJ8_exchange	0
prot_Q88CJ9_exchange	0
prot_Q88CK0_exchange	0
prot_Q88CK1_exchange	0
prot_Q88CK9_exchange	0
prot_Q88CL2_exchange	0
prot_Q88CM5_exchange	0.00156723712310241
prot_Q88CN0_exchange	0.00086503024337159
prot_Q88CN1_exchange	0
prot_Q88CN9_exchange	0.0267756190705708
prot_Q88CP8_exchange	0.0433287060132198
prot_Q88CQ2_exchange	0.159507011392628
prot_Q88CQ7_exchange	0.00201639625294116
prot_Q88CR2_exchange	0
prot_Q88CS5_exchange	0
prot_Q88CS6_exchange	0
prot_Q88CT0_exchange	0
prot_Q88CT2_exchange	1
prot_Q88CT3_exchange	1
prot_Q88CT5_exchange	0.0123512347720409
prot_Q88CU1_exchange	0
prot_Q88CU5_exchange	0
prot_Q88CU6_exchange	0.19373721492432
prot_Q88CV1_exchange	0.999899999964499
prot_Q88CV2_exchange	0.00100883138355232
prot_Q88CV4_exchange	0
prot_Q88CV5_exchange	0
prot_Q88CV6_exchange	0.273160190057857
prot_Q88CW1_exchange	1
prot_Q88CW6_exchange	0
prot_Q88CW7_exchange	0
prot_Q88CX4_exchange	0.443749104509411
prot_Q88CX6_exchange	0
prot_Q88CY3_exchange	0.138018335458722
prot_Q88CY4_exchange	0
prot_Q88CY8_exchange	0
prot_Q88CY9_exchange	0
prot_Q88CZ6_exchange	0.0235317931278944
prot_Q88CZ7_exchange	0.000324653098254858
prot_Q88D14_exchange	0.0646086803636458
prot_Q88D15_exchange	1
prot_Q88D17_exchange	0.999899999998875
prot_Q88D29_exchange	0.0370487743608971
prot_Q88D30_exchange	0.0414168189412192
prot_Q88D31_exchange	0
prot_Q88D35_exchange	0.00402357142424661
prot_Q88D44_exchange	0.0910570531951169
prot_Q88D45_exchange	0
prot_Q88D51_exchange	0.0475003718984784
prot_Q88D60_exchange	0.0125309090184298
prot_Q88D62_exchange	0.0662951843113218
prot_Q88D63_exchange	0.00031936639940956
prot_Q88D64_exchange	0.0392208489827087
prot_Q88D67_exchange	0
prot_Q88D83_exchange	0.00797212526525175
prot_Q88D93_exchange	0.0629695581899841
prot_Q88D99_exchange	0.9999
prot_Q88DA5_exchange	0.000247263608534366
prot_Q88DA8_exchange	0
prot_Q88DB8_exchange	0.104249468285293
prot_Q88DB9_exchange	0.0228696839958965
prot_Q88DC0_exchange	0
prot_Q88DC4_exchange	0
prot_Q88DD0_exchange	0
prot_Q88DD4_exchange	0
prot_Q88DD7_exchange	1
prot_Q88DD8_exchange	0.81337037024286
prot_Q88DE5_exchange	0
prot_Q88DF6_exchange	0.170931894361453
prot_Q88DF7_exchange	0
prot_Q88DF8_exchange	0
prot_Q88DG2_exchange	0
prot_Q88DG3_exchange	0.00229976085181089
prot_Q88DJ5_exchange	0.9999
prot_Q88DJ8_exchange	0.9999
prot_Q88DJ9_exchange	0.9999
prot_Q88DK2_exchange	0.99989999997616
prot_Q88DK3_exchange	1
prot_Q88DL4_exchange	0.175577991210449
prot_Q88DL5_exchange	0.343174553959691
prot_Q88DL8_exchange	0
prot_Q88DM0_exchange	0
prot_Q88DM2_exchange	0.000617833086764384
prot_Q88DM4_exchange	0.353714513742176
prot_Q88DM5_exchange	0.0583503138643384
prot_Q88DM6_exchange	0
prot_Q88DN1_exchange	0
prot_Q88DP0_exchange	0.288262570540592
prot_Q88DP1_exchange	0.310555040168679
prot_Q88DP2_exchange	0.0529676093459215
prot_Q88DP5_exchange	0
prot_Q88DR1_exchange	0
prot_Q88DT2_exchange	0
prot_Q88DT3_exchange	0
prot_Q88DU4_exchange	0.102804743584986
prot_Q88DU5_exchange	0
prot_Q88DU6_exchange	0
prot_Q88DV2_exchange	0.999899999999711
prot_Q88DV3_exchange	0
prot_Q88DV4_exchange	0.000497622593573382
prot_Q88DW7_exchange	1
prot_Q88DW8_exchange	0.00880369059274771
prot_Q88DW9_exchange	0.0673370868739985
prot_Q88DX9_exchange	0
prot_Q88DY2_exchange	0
prot_Q88DY5_exchange	0.0655801749021061
prot_Q88DY8_exchange	0.0332306063534763
prot_Q88DY9_exchange	0.0317568031310745
prot_Q88DZ0_exchange	0.0220550307474947
prot_Q88E01_exchange	0
prot_Q88E02_exchange	0
prot_Q88E09_exchange	0
prot_Q88E12_exchange	0
prot_Q88E22_exchange	0.0255918136740413
prot_Q88E29_exchange	0
prot_Q88E32_exchange	0
prot_Q88E33_exchange	0
prot_Q88E36_exchange	0
prot_Q88E40_exchange	0.00503681742539701
prot_Q88E48_exchange	0
prot_Q88E72_exchange	0
prot_Q88E95_exchange	0.00348544447676417
prot_Q88E96_exchange	1
prot_Q88EB6_exchange	0
prot_Q88EB7_exchange	0
prot_Q88EC1_exchange	0.796259047525442
prot_Q88EH2_exchange	0
prot_Q88EH6_exchange	0.00150045127219347
prot_Q88EH7_exchange	0
prot_Q88EI0_exchange	0
prot_Q88EI2_exchange	0
prot_Q88EI3_exchange	0
prot_Q88EI4_exchange	0
prot_Q88EI5_exchange	0
prot_Q88EI7_exchange	0
prot_Q88EI8_exchange	0.0993307972312105
prot_Q88EI9_exchange	0.0845186725029927
prot_Q88EM2_exchange	0
prot_Q88EM6_exchange	0
prot_Q88EN1_exchange	0
prot_Q88EN3_exchange	1
prot_Q88EQ0_exchange	0
prot_Q88ES4_exchange	0.000270659358918054
prot_Q88EZ5_exchange	0
prot_Q88F00_exchange	0
prot_Q88F01_exchange	0
prot_Q88F02_exchange	0
prot_Q88F12_exchange	0
prot_Q88F13_exchange	0
prot_Q88F14_exchange	0
prot_Q88F18_exchange	0
prot_Q88F20_exchange	0
prot_Q88F21_exchange	0
prot_Q88F33_exchange	0.00916663182638981
prot_Q88F35_exchange	0
prot_Q88F43_exchange	0
prot_Q88F62_exchange	0
prot_Q88F95_exchange	0
prot_Q88F96_exchange	0
prot_Q88F97_exchange	0
prot_Q88FA4_exchange	0.25895549219912
prot_Q88FA5_exchange	0.155644259927915
prot_Q88FA6_exchange	0.155644259927915
