protein_IDs	previous_values	modified_values	flex_Mass
prot_P59400	1.57630319646763e-05	1.57704979668656e-05	3.55416794421396e-07
prot_Q88BW8	0.000125044723980173	0.000426602555816199	0.0095631105240035
prot_Q88BW9	0.000125044723980173	0.00426602555816199	0.0356470537737374
prot_Q88BX0	0.000125044723980173	0.000853205111632397	0.0123046289890403
prot_Q88BX1	0.000125044723980173	0.000426602555816199	0.0057889423706115
prot_Q88BX2	0.000125044723980173	0.0012798076674486	0.0639181613037577
prot_Q88BX3	0.000125044723980173	0.000426602555816199	0.00948825180782853
prot_Q88BX4	0.000125044723980173	0.0012798076674486	0.0569976323406631
prot_Q88BX5	0.000125044723980173	0.000426602555816199	0.00438390301147286
prot_Q88C92	1.87243095164504e-05	1.8754954865625e-05	7.07268916856618e-07
prot_Q88CF4	1.17166849520417e-06	2.0852571685126e-06	4.1306020735087e-05
prot_Q88CG4	1.37618476241795e-06	0.000183283506694666	0.0148675910258235
prot_Q88CT2	6.79237062020688e-07	9.36011224451664e-07	6.16314736924239e-06
prot_Q88CW1	1.7589807240788e-06	9.17258515270791e-06	0.000117062815601249
prot_Q88D15	1.74417426735436e-06	2.30980128388743e-06	8.48839857473276e-06
prot_Q88DD7	8.46531674336221e-06	8.4693262558393e-06	1.72151385243006e-07
prot_Q88DK3	2.27703282235173e-05	2.27711003781884e-05	4.45496953981319e-08
prot_Q88E96	1.90586915129346e-07	6.29471366561847e-06	0.000218808405415498
prot_Q88FC3	2.11501854676149e-05	0.000345909126163811	0.0140502116783993
prot_Q88FP6	8.05964872352682e-07	4.03625267974429e-06	0.00011424171253865
prot_Q88GX7	1.12017574087035e-05	4.73500161833462e-05	0.00157719841493477
prot_Q88KB5	1.31561058972885e-06	3.81299772708141e-06	0.000338166597076578
prot_Q88L15	1.70679840737818e-06	0.000100888785136815	0.0018909531761702
prot_Q88L55	9.93667528801372e-07	3.7254138537882e-06	0.000498517424910449
prot_Q88LG1	1.93368216244715e-05	0.000363838929947903	0.014913441148984
prot_Q88MG9	2.85113403520905e-06	1.63670094140764e-05	0.000224137275535356
prot_Q88MR4	3.3872528665537e-07	9.91298497317049e-07	6.327580208919e-05
prot_Q88NF9	3.22124644217791e-06	6.46205563267756e-06	0.000188344195646846
prot_Q88NW7	2.41608864472227e-05	2.42004296304249e-05	1.51903240198357e-06
prot_Q88PN2	5.77886507272279e-06	2.00062124044278e-05	0.00064018097648454
prot_Q88PR1	2.94227016786123e-06	3.23022753073341e-06	8.68578751712682e-06
prot_Q88QQ6	9.90719397541417e-06	4.68129676112671e-05	0.00133884772684371
prot_Q88R13	1.60795760085575e-06	6.10696380484232e-06	0.00017126659352119
prot_Q88R41	1.31357228315547e-05	1.31419444350912e-05	1.68796085773445e-07
prot_Q88R44	1.31357228315547e-05	1.31419444350912e-05	1.46422141783333e-07
prot_Q88RK8	8.62314628638398e-07	5.38508041382373e-06	0.000158944372086609
prot_Q88RQ6	6.84975745936437e-07	4.74777590327616e-06	0.000139731763927381
prot_Q88RS0	7.28410015098568e-07	7.28704440756641e-07	5.53385390224938e-09
