prot_IDs	usage
prot_A0A140FVX4_exchange	0
prot_A0A140FWK2_exchange	0
prot_A0A140FWS3_exchange	0.0141748561566332
prot_A0A140FWS4_exchange	0.796985524599746
prot_P0A0Z9_exchange	0.354621855684031
prot_P0A101_exchange	1
prot_P0A122_exchange	0.643386578544386
prot_P0A136_exchange	0.0725220861495035
prot_P0A155_exchange	0
prot_P59285_exchange	0
prot_P59300_exchange	0.131125223758101
prot_P59308_exchange	1
prot_P59319_exchange	0.796985524608131
prot_P59392_exchange	0
prot_P59400_exchange	0.815654962652453
prot_P59604_exchange	0.796985524608131
prot_P59612_exchange	0
prot_P59618_exchange	0.00363209667305343
prot_Q877U6_exchange	0.608405804516694
prot_Q88BW8_exchange	0.910016604762636
prot_Q88BW9_exchange	0.910016604762636
prot_Q88BX0_exchange	0.910016604762636
prot_Q88BX1_exchange	0.910016604762636
prot_Q88BX2_exchange	0.910016604762636
prot_Q88BX3_exchange	0.910016604762636
prot_Q88BX4_exchange	0.910016604762636
prot_Q88BX5_exchange	0.910016604762636
prot_Q88BX6_exchange	0.00701306977266957
prot_Q88BX8_exchange	0.781259814715234
prot_Q88C17_exchange	0
prot_Q88C18_exchange	1
prot_Q88C26_exchange	0
prot_Q88C36_exchange	0.565677522971132
prot_Q88C37_exchange	0.510934481215983
prot_Q88C45_exchange	0
prot_Q88C47_exchange	0.261572501359564
prot_Q88C48_exchange	0.544496393219814
prot_Q88C54_exchange	0
prot_Q88C57_exchange	0
prot_Q88C69_exchange	0
prot_Q88C81_exchange	0
prot_Q88C87_exchange	0.305901583853592
prot_Q88C92_exchange	0.798842983434307
prot_Q88C93_exchange	0.137415583138298
prot_Q88C95_exchange	0
prot_Q88C96_exchange	0.0389613420173544
prot_Q88CA3_exchange	0
prot_Q88CA8_exchange	0
prot_Q88CB1_exchange	0
prot_Q88CC3_exchange	0
prot_Q88CF3_exchange	0
prot_Q88CF4_exchange	1
prot_Q88CG4_exchange	1
prot_Q88CG5_exchange	0
prot_Q88CG6_exchange	0.135052258574358
prot_Q88CG8_exchange	0
prot_Q88CH8_exchange	0
prot_Q88CI2_exchange	0.000348892051281582
prot_Q88CI4_exchange	0
prot_Q88CI7_exchange	0.0325895592839855
prot_Q88CI8_exchange	0.0103098538223474
prot_Q88CI9_exchange	1
prot_Q88CJ5_exchange	0.0437350606771469
prot_Q88CJ6_exchange	0
prot_Q88CJ8_exchange	0
prot_Q88CJ9_exchange	0
prot_Q88CK0_exchange	0
prot_Q88CK1_exchange	0
prot_Q88CK9_exchange	0
prot_Q88CL2_exchange	0
prot_Q88CM5_exchange	0.00256790148280284
prot_Q88CN0_exchange	0.00220542076923467
prot_Q88CN1_exchange	0.000187664439046412
prot_Q88CN9_exchange	0.0278667635462642
prot_Q88CP8_exchange	0.0450944122731086
prot_Q88CQ2_exchange	0.16624384664326
prot_Q88CQ7_exchange	0.00209856726181987
prot_Q88CR2_exchange	0
prot_Q88CS5_exchange	0
prot_Q88CS6_exchange	0
prot_Q88CT0_exchange	0
prot_Q88CT2_exchange	1
prot_Q88CT3_exchange	1
prot_Q88CT5_exchange	0
prot_Q88CU1_exchange	0
prot_Q88CU5_exchange	0.00446794419076412
prot_Q88CU6_exchange	0.201632281374277
prot_Q88CV1_exchange	1
prot_Q88CV2_exchange	0.00198856280580958
prot_Q88CV4_exchange	0
prot_Q88CV5_exchange	0
prot_Q88CV6_exchange	0.284291855457467
prot_Q88CW1_exchange	1
prot_Q88CW6_exchange	0
prot_Q88CW7_exchange	0
prot_Q88CX4_exchange	1
prot_Q88CX6_exchange	1
prot_Q88CY3_exchange	0.143889633783692
prot_Q88CY4_exchange	0
prot_Q88CY8_exchange	0
prot_Q88CY9_exchange	0
prot_Q88CZ6_exchange	1
prot_Q88CZ7_exchange	0.0137963603746804
prot_Q88D14_exchange	0.0687776591116938
prot_Q88D15_exchange	1
prot_Q88D17_exchange	0.796985524600453
prot_Q88D29_exchange	0.0385814197357524
prot_Q88D30_exchange	0.0431301629610007
prot_Q88D31_exchange	0
prot_Q88D35_exchange	0.0041875376698283
prot_Q88D44_exchange	0.0947677573362577
prot_Q88D45_exchange	0
prot_Q88D51_exchange	0.0322908055520108
prot_Q88D60_exchange	0.0148604851668625
prot_Q88D62_exchange	0.598555922470269
prot_Q88D63_exchange	0.000332381033413703
prot_Q88D64_exchange	0.037005880772627
prot_Q88D67_exchange	0
prot_Q88D83_exchange	0.00829700068343681
prot_Q88D93_exchange	0.0655356570493519
prot_Q88D99_exchange	0.796985524608131
prot_Q88DA5_exchange	0.00025733995148581
prot_Q88DA8_exchange	0
prot_Q88DB8_exchange	0.170811653351654
prot_Q88DB9_exchange	0.0238016560741968
prot_Q88DC0_exchange	0
prot_Q88DC4_exchange	0
prot_Q88DD0_exchange	0
