protein_IDs	previous_values	modified_values	flex_Mass
prot_P59308	7.17427592882137e-07	3.95601322859719e-05	0.00129718475109768
prot_Q88CT2	7.88079999585491e-07	9.36011224451664e-07	3.55067632479511e-06
prot_Q88CV1	4.48210321551388e-06	6.18949218226053e-06	3.29786788877325e-05
prot_Q88EH2	3.37379980212573e-07	1.42452814338376e-06	1.45917243890469e-05
prot_Q88FC4	7.54373168135765e-06	2.36364617237694e-05	0.000302389317370836
prot_Q88FP6	8.05964872352682e-07	3.95088370131305e-06	0.000111222570321246
prot_Q88GX7	1.12017574087035e-05	0.000408641879162521	0.0173408609794871
prot_Q88JF1	4.08567937136724e-07	2.86807633727608e-06	9.50817171245594e-05
prot_Q88KX1	6.59066224304688e-06	3.20432893746472e-05	0.000855589806502473
prot_Q88L58	1.68499966965317e-07	2.73150356420755e-06	0.000114998716393691
prot_Q88M07	1.14230787320247e-05	1.87069060696841e-05	0.000290703813137496
prot_Q88RK8	8.62314628638398e-07	4.22744429109352e-06	0.000118261357451
