Rxn name	Formula	Gene-reaction association	LB	UB	Objective
13DAMPPabcpp	13dampp_p[p] + atp_c[c] + h2o_c[c]  -> 13dampp_c[c] + adp_c[c] + h_c[c] + pi_c[c] 		  0.00	999999.00	  0.00
13DAMPPtex	13dampp_e[e]  -> 13dampp_p[p] 		  0.00	999999.00	  0.00
15DAPabcpp	15dap_p[p] + atp_c[c] + h2o_c[c]  -> 15dap_c[c] + adp_c[c] + h_c[c] + pi_c[c] 		  0.00	999999.00	  0.00
1P2CBXLCYCL	5a2opntn_c[c]  -> 1p2cbxl_c[c] + h_c[c] + h2o_c[c] 	PP_s0001	  0.00	999999.00	  0.00
1PQQS	2pqq_c[c] + o2_c[c]  -> 1pqq_c[c] 		  0.00	999999.00	  0.00
25DKGLCNt2rpp	25dkglcn_p[p] + h_p[p]  -> 25dkglcn_c[c] + h_c[c] 		  0.00	999999.00	  0.00
25DKGLCNtex	25dkglcn_e[e]  -> 25dkglcn_p[p] 		  0.00	999999.00	  0.00
26DAHtex	26dap__M_e[e]  -> 26dap__M_p[p] 		  0.00	999999.00	  0.00
2AACLPGT160	2agpg160_c[c] + palmACP_c[c]  -> ACP_c[c] + pg160_c[c] 	PP_1700	  0.00	999999.00	  0.00
2AACLPGT161	2agpg161_c[c] + hdeACP_c[c]  -> ACP_c[c] + pg161_c[c] 	PP_1700	  0.00	999999.00	  0.00
2AACLPGT180	2agpg180_c[c] + ocdcaACP_c[c]  -> ACP_c[c] + pg180_c[c] 	PP_1700	  0.00	999999.00	  0.00
2AACLPGT181	2agpg181_c[c] + octeACP_c[c]  -> ACP_c[c] + pg181_c[c] 	PP_1700	  0.00	999999.00	  0.00
2AACLPPEAT160	2agpe160_c[c] + palmACP_c[c]  -> ACP_c[c] + pe160_c[c] 	PP_1700	  0.00	999999.00	  0.00
2AACLPPEAT161	2agpe161_c[c] + hdeACP_c[c]  -> ACP_c[c] + pe161_c[c] 	PP_1700	  0.00	999999.00	  0.00
2AACLPPEAT180	2agpe180_c[c] + ocdcaACP_c[c]  -> ACP_c[c] + pe180_c[c] 	PP_1700	  0.00	999999.00	  0.00
2AACLPPEAT181	2agpe181_c[c] + octeACP_c[c]  -> ACP_c[c] + pe181_c[c] 	PP_1700	  0.00	999999.00	  0.00
2AGPE160tipp	2agpe160_p[p]  -> 2agpe160_c[c] 	PP_1700	  0.00	999999.00	  0.00
2AGPE161tipp	2agpe161_p[p]  -> 2agpe161_c[c] 	PP_1700	  0.00	999999.00	  0.00
2AGPE180tipp	2agpe180_p[p]  -> 2agpe180_c[c] 	PP_1700	  0.00	999999.00	  0.00
2AGPE181tipp	2agpe181_p[p]  -> 2agpe181_c[c] 	PP_1700	  0.00	999999.00	  0.00
2AGPG160tipp	2agpg160_p[p]  -> 2agpg160_c[c] 	PP_1700	  0.00	999999.00	  0.00
2AGPG161tipp	2agpg161_p[p]  -> 2agpg161_c[c] 	PP_1700	  0.00	999999.00	  0.00
2AGPG180tipp	2agpg180_p[p]  -> 2agpg180_c[c] 	PP_1700	  0.00	999999.00	  0.00
2AGPG181tipp	2agpg181_p[p]  -> 2agpg181_c[c] 	PP_1700	  0.00	999999.00	  0.00
2DHGLCNkt_tpp	2dhglcn_p[p] + h_p[p]  -> 2dhglcn_c[c] + h_c[c] 	PP_3377	  0.00	999999.00	  0.00
2DHGLCNtex	2dhglcn_e[e]  -> 2dhglcn_p[p] 		  0.00	999999.00	  0.00
2PQQS	3pqq_c[c]  -> 2pqq_c[c] + h2o_c[c] 		  0.00	999999.00	  0.00
34DHCINMtex	34dhcinm_e[e]  -> 34dhcinm_p[p] 		  0.00	999999.00	  0.00
34DHCINMtpp	34dhcinm_p[p]  -> 34dhcinm_c[c] 		  0.00	999999.00	  0.00
34DHPHEtex	34dhphe_e[e]  -> 34dhphe_p[p] 		  0.00	999999.00	  0.00
34DHPHEtpp	34dhphe_p[p] + h_p[p]  -> 34dhphe_c[c] + h_c[c] 		  0.00	999999.00	  0.00
ACOADH1	2mbcoa_c[c] + fad_c[c]  -> 2mb2coa_c[c] + fadh2_c[c] 		  0.00	999999.00	  0.00
ACOADH2	o2_c[c] + 2 ibcoa_c[c]  -> 2 2mp2coa_c[c] + 2 h2o_c[c] 		  0.00	999999.00	  0.00
ACONCt4pp	acon_C_p[p] + na1_p[p]  -> acon_C_c[c] + na1_c[c] 	PP_1416 and PP_1417 and PP_1418	  0.00	999999.00	  0.00
ACONIs	acon_T_c[c]  -> acon_C_c[c] 		  0.00	999999.00	  0.00
ACSERtex	acser_e[e]  -> acser_p[p] 		  0.00	999999.00	  0.00
ACSERtpp	acser_c[c]  -> acser_p[p] 	PP_2872	  0.00	999999.00	  0.00
DGUDBUTNabcpp	atp_c[c] + dgudbutn_p[p] + h2o_c[c]  -> adp_c[c] + dgudbutn_c[c] + h_c[c] + pi_c[c] 		  0.00	999999.00	  0.00
