protein_IDs	previous_values	modified_values	flex_Mass
prot_P0A155	3.60933908916588e-07	0.000375367646805615	0.0207564790562813
prot_Q88BW8	0.000104094810604297	0.000232347205160442	0.00406718610702649
prot_Q88BW9	0.000104094810604297	0.00232347205160442	0.0191051982663358
prot_Q88BX0	0.000104094810604297	0.000464694410320884	0.00609349857991481
prot_Q88BX1	0.000104094810604297	0.000232347205160442	0.00246203428529145
prot_Q88BX2	0.000104094810604297	0.000697041615481325	0.0328206492363201
prot_Q88BX3	0.000104094810604297	0.000232347205160442	0.00403534873260188
prot_Q88BX4	0.000104094810604297	0.000697041615481325	0.0292671012462879
prot_Q88BX5	0.000104094810604297	0.000232347205160442	0.00186447175090784
prot_Q88C92	1.21828649267028e-05	1.2202804150991e-05	4.60180547622863e-07
prot_Q88CG4	2.72522608902581e-06	0.000117094699407549	0.00934760919503809
prot_Q88CW1	3.3793784669436e-06	5.9680900849266e-06	4.08764554000886e-05
prot_Q88E51	1.62999015631753e-07	7.89259108482442e-07	2.25353369185383e-05
prot_Q88E96	1.31242585640583e-07	4.09561945621611e-06	0.000142106974015113
prot_Q88FC3	1.3785448813177e-05	0.000395436832517447	0.0165115784554035
prot_Q88GH6	7.71228145268904e-08	0.000421017888617914	0.0188427482947786
prot_Q88GH7	7.51810740648309e-07	0.000421017888617914	0.0158798209951649
prot_Q88GH8	2.02625729339033e-07	0.000421017888617914	0.0225183212791778
prot_Q88GX7	1.60069172283871e-05	3.08080173037714e-05	0.000645792421807123
prot_Q88JF1	6.20935779996312e-07	1.79302899439358e-06	4.53117523195374e-05
prot_Q88K52	4.18358957260514e-05	0.000375367646805615	0.00683970560153101
prot_Q88L15	2.04861909129943e-06	6.56427112129407e-05	0.00121245252740423
prot_Q88LG1	2.6092036618928e-05	0.000234744588664533	0.00903253559364589
prot_Q88LV4	3.11176890121009e-06	3.75103232490563e-05	0.000735705616839886
prot_Q88MG9	3.91293909434945e-06	1.06491010961303e-05	0.000111707525877651
prot_Q88NW7	1.57201426219384e-05	1.57458711719525e-05	9.88349899085455e-07
prot_Q88P29	2.6180492508884e-06	5.920429151757e-06	8.25728721603135e-05
prot_Q88PN2	3.42623243115557e-06	1.30169277144898e-05	0.000431547816223502
prot_Q88Q44	2.81645790715861e-06	2.20122714308472e-05	0.00056500151301457
prot_Q88QQ6	1.39502604077431e-05	3.09253798823315e-05	0.0006158142177346
prot_Q88R13	3.14505790248119e-06	1.45268582075581e-05	0.00043327839038356
prot_Q88RQ6	1.15024930111607e-06	3.08911324583679e-06	6.66832894848617e-05
