protein_IDs	previous_values	modified_values	flex_Mass
prot_P59319	1.14956059051863e-05	3.04291724472721e-05	0.000823420051572648
prot_P59604	4.57847493783686e-05	6.2673433119739e-05	0.000762759330287393
prot_Q88C92	3.18557176990786e-06	1.26286971955534e-05	0.000217939402598541
prot_Q88CB2	2.07387790861318e-07	1.41433020771386e-06	4.67877986770421e-05
prot_Q88CT2	8.76747964006773e-07	1.09299555488067e-06	5.19042008814929e-06
prot_Q88CV1	1.09086207399822e-06	5.99921716617939e-06	9.48062038613544e-05
prot_Q88D99	1.42811063625777e-07	1.44691131345409e-07	8.75848911888319e-08
prot_Q88DD7	3.83429403231836e-06	6.07226890634944e-06	9.60891073179312e-05
prot_Q88DJ5	1.07572546290887e-07	8.91785928028446e-07	3.32882268909254e-05
prot_Q88DJ8	6.14137828339495e-07	3.9868513099965e-06	9.00203535419412e-05
prot_Q88DJ9	1.95170251429708e-07	3.9868513099965e-06	0.000224314638086873
prot_Q88FC3	1.3785448813177e-05	0.000180798444855897	0.00722556842442417
prot_Q88FC4	8.71311323925324e-06	1.16328027201402e-05	5.48622208123433e-05
prot_Q88FR7	2.85270065696383e-05	5.12139637296812e-05	0.00114694637905226
prot_Q88GX7	1.60069172283871e-05	0.000864744371762676	0.0370315863990183
prot_Q88HF0	9.24470790135977e-08	3.9868513099965e-06	0.000104068294950525
prot_Q88KG2	4.58031192763903e-06	6.24151706258069e-06	4.63416927625406e-05
prot_Q88LD8	2.54898893949937e-07	8.93132771310555e-06	0.000406885641217288
prot_Q88LD9	1.17498693681297e-05	2.0271091173852e-05	0.000277022534961928
prot_Q88M10	2.6935828602678e-06	7.97370262001484e-06	0.000137725534988092
prot_Q88MF7	2.48544021325808e-07	3.71767627267817e-07	3.15169633035907e-06
prot_Q88MG4	1.61679233157859e-05	2.0271091173852e-05	0.000144164597534761
prot_Q88N89	8.16999610109204e-07	4.22876558105401e-06	7.17076783534849e-05
prot_Q88NB8	6.97069081865594e-07	8.13317667239286e-07	1.90152344790577e-06
prot_Q88NC0	2.21318591337057e-06	8.74540478175903e-06	0.000109456798857208
prot_Q88NW7	6.92596877263571e-06	1.62954216629488e-05	0.00035992303544399
prot_Q88PW6	3.17754463586326e-07	5.78369640419683e-06	0.000253103393168617
prot_Q88Q65	6.81167369833462e-07	1.45329221874501e-06	1.74899095550958e-05
prot_Q88QD6	1.90921052234708e-05	2.0271091173852e-05	5.78736496872296e-05
prot_Q88QH4	2.58387842992998e-07	4.30326188397468e-07	5.66619034636832e-06
prot_Q88QU4	8.9738953288352e-07	1.52305527828997e-06	8.26502572684681e-06
prot_Q88QW8	1.83291850706179e-06	1.93642880885289e-05	0.000418501316159863
prot_Q88QZ0	2.16078429354241e-07	3.20358145641534e-07	3.21257858917186e-06
prot_Q88R41	2.77108554228048e-06	9.42240482318842e-06	0.000180454548935372
prot_Q88R44	1.44997422728295e-06	9.42240482318842e-06	0.000187626928686419
